Winkel;Tool;J1;J2;J3;J4;J5;J6
84;T1;-54.8049;31.8272;19.8415;-33.5001;74.5832;-28.9541
85;T1;-54.6908;31.5457;20.3231;-34.0995;74.112;-29.3116
86;T1;-54.5812;31.2626;20.8063;-34.7027;73.6368;-29.665
87;T1;-54.4761;30.9782;21.291;-35.3097;73.158;-30.0143
88;T1;-54.3757;30.6923;21.777;-35.9207;72.6754;-30.3595
89;T1;-54.28;30.4052;22.2642;-36.5359;72.1892;-30.7006
90;T1;-54.1892;30.1168;22.7523;-37.1554;71.6995;-31.0376
91;T1;-54.1033;29.8273;23.2413;-37.7792;71.2063;-31.3705
92;T1;-54.0225;29.5367;23.7309;-38.4076;70.7097;-31.6993
93;T1;-53.9468;29.2451;24.2211;-39.0408;70.2097;-32.024
94;T1;-53.8763;28.9526;24.7117;-39.6787;69.7065;-32.3447
95;T1;-53.8112;28.6593;25.2025;-40.3217;69.2;-32.6612
96;T1;-53.7515;28.3652;25.6934;-40.9697;68.6904;-32.9736
97;T1;-53.6973;28.0704;26.1842;-41.6231;68.1776;-33.282
98;T1;-53.6487;27.775;26.6748;-42.2819;67.6618;-33.5862
99;T1;-53.6059;27.479;27.1649;-42.9463;67.143;-33.8863
100;T1;-53.5689;27.1827;27.6545;-43.6164;66.6211;-34.1823
101;T1;-53.5379;26.886;28.1434;-44.2925;66.0964;-34.4742
102;T1;-53.5129;26.589;28.6314;-44.9746;65.5688;-34.762
103;T1;-53.4941;26.2918;29.1184;-45.6629;65.0384;-35.0456
104;T1;-53.4815;25.9945;29.6042;-46.3576;64.5051;-35.325
105;T1;-53.4753;25.6972;30.0886;-47.0589;63.9691;-35.6002
106;T1;-53.4755;25.4;30.5714;-47.7669;63.4303;-35.8713
107;T1;-53.4824;25.103;31.0526;-48.4817;62.8889;-36.1381
108;T1;-53.4959;24.8063;31.532;-49.2037;62.3447;-36.4007
109;T1;-53.5163;24.5099;32.0092;-49.9328;61.7979;-36.659
110;T1;-53.5435;24.214;32.4843;-50.6694;61.2485;-36.913
111;T1;-53.5778;23.9186;32.957;-51.4136;60.6965;-37.1626
112;T1;-53.6191;23.624;33.4272;-52.1655;60.1419;-37.4079
113;T1;-53.6677;23.3301;33.8946;-52.9254;59.5847;-37.6487
114;T1;-53.7236;23.0371;34.359;-53.6934;59.0249;-37.8851
115;T1;-53.787;22.7451;34.8204;-54.4698;58.4626;-38.1169
116;T1;-53.8578;22.4542;35.2785;-55.2546;57.8978;-38.3441
117;T1;-53.9363;22.1645;35.7331;-56.0482;57.3305;-38.5667
