Winkel;Tool;J1;J2;J3;J4;J5;J6
382;T1;-67.5396;43.3858;-0.558681;0.325779;92.1719;0.337897
383;T1;-67.2863;43.3323;-0.466328;-0.202596;92.1336;-0.21
384;T1;-67.0334;43.2734;-0.364042;-0.731203;92.0858;-0.757393
385;T1;-66.781;43.2092;-0.251854;-1.26003;92.0283;-1.30415
386;T1;-66.529;43.1396;-0.129829;-1.78905;91.9613;-1.85013
387;T1;-66.2777;43.0648;0.00197231;-2.31827;91.8848;-2.39521
388;T1;-66.0269;42.9847;0.143475;-2.84767;91.7988;-2.93925
389;T1;-65.7768;42.8994;0.29461;-3.37725;91.7033;-3.48213
390;T1;-65.5275;42.8089;0.455305;-3.90699;91.5985;-4.02373
391;T1;-65.2789;42.7133;0.625465;-4.43688;91.4844;-4.56391
392;T1;-65.0312;42.6126;0.805007;-4.96693;91.361;-5.10256
393;T1;-64.7844;42.5068;0.993842;-5.49714;91.2285;-5.63955
394;T1;-64.5385;42.396;1.19185;-6.0275;91.0868;-6.17478
395;T1;-64.2937;42.2802;1.39896;-6.55802;90.9361;-6.70812
396;T1;-64.0499;42.1595;1.61504;-7.0887;90.7765;-7.23947
397;T1;-63.8073;42.034;1.83999;-7.61954;90.608;-7.76871
398;T1;-63.5659;41.9036;2.0737;-8.15055;90.4306;-8.29574
399;T1;-63.3257;41.7685;2.31603;-8.68176;90.2446;-8.82045
400;T1;-63.0868;41.6287;2.56688;-9.21316;90.05;-9.34274
401;T1;-62.8493;41.4842;2.82612;-9.74478;89.8468;-9.86253
402;T1;-62.6132;41.3352;3.09362;-10.2766;89.6352;-10.3797
403;T1;-62.3786;41.1816;3.36924;-10.8088;89.4153;-10.8942
404;T1;-62.1455;41.0236;3.65285;-11.3412;89.1872;-11.4059
405;T1;-61.9141;40.8612;3.94433;-11.8739;88.951;-11.9147
406;T1;-61.6842;40.6944;4.24352;-12.4069;88.7067;-12.4206
407;T1;-61.4562;40.5234;4.55028;-12.9404;88.4545;-12.9234
408;T1;-61.2299;40.3482;4.86448;-13.4742;88.1946;-13.4232
409;T1;-61.0054;40.1688;5.18597;-14.0085;87.9269;-13.9197
410;T1;-60.7828;39.9854;5.5146;-14.5433;87.6517;-14.413
411;T1;-60.5622;39.7979;5.85022;-15.0786;87.3689;-14.903
412;T1;-60.3436;39.6065;6.19268;-15.6145;87.0789;-15.3897
413;T1;-60.127;39.4113;6.54184;-16.151;86.7816;-15.8729
414;T1;-59.9127;39.2123;6.89754;-16.6882;86.4771;-16.3526
415;T1;-59.7005;39.0095;7.25962;-17.2262;86.1657;-16.8288
416;T1;-59.4906;38.8031;7.62795;-17.765;85.8473;-17.3014
417;T1;-59.283;38.5931;8.00234;-18.3046;85.5222;-17.7704
418;T1;-59.0778;38.3795;8.38268;-18.8452;85.1904;-18.2357
419;T1;-58.875;38.1626;8.76877;-19.3868;84.852;-18.6972
420;T1;-58.6748;37.9422;9.16048;-19.9294;84.5072;-19.1551
421;T1;-58.4772;37.7186;9.55766;-20.4732;84.156;-19.6091
422;T1;-58.2822;37.4917;9.96013;-21.0182;83.7987;-20.0593
423;T1;-58.0899;37.2616;10.3678;-21.5644;83.4352;-20.5056
424;T1;-57.9004;37.0285;10.7804;-22.1121;83.0658;-20.948
425;T1;-57.7138;36.7924;11.1978;-22.6612;82.6905;-21.3866
426;T1;-57.53;36.5533;11.6199;-23.2119;82.3094;-21.8212
427;T1;-57.3493;36.3113;12.0466;-23.7642;81.9227;-22.2518
428;T1;-57.1716;36.0665;12.4776;-24.3182;81.5304;-22.6785
429;T1;-56.9971;35.819;12.9128;-24.874;81.1327;-23.1011
430;T1;-56.8257;35.5689;13.3521;-25.4318;80.7296;-23.5198
431;T1;-56.6576;35.3161;13.7953;-25.9916;80.3213;-23.9344
432;T1;-56.4929;35.0609;14.2422;-26.5534;79.9079;-24.345
433;T1;-56.3316;34.8032;14.6927;-27.1175;79.4895;-24.7515
434;T1;-56.1737;34.5431;15.1467;-27.6839;79.0662;-25.154
435;T1;-56.0195;34.2807;15.6039;-28.2528;78.638;-25.5524
436;T1;-55.8689;34.016;16.0643;-28.8241;78.2051;-25.9467
437;T1;-55.722;33.7493;16.5276;-29.3981;77.7676;-26.337
438;T1;-55.5789;33.4804;16.9938;-29.9749;77.3256;-26.7231
439;T1;-55.4397;33.2095;17.4626;-30.5545;76.8791;-27.1052
440;T1;-55.3045;32.9366;17.934;-31.1372;76.4282;-27.4832
441;T1;-55.1733;32.6619;18.4077;-31.7229;75.9732;-27.8571
442;T1;-55.0463;32.3854;18.8836;-32.3119;75.5139;-28.2268
443;T1;-54.9235;32.1071;19.3616;-32.9042;75.0506;-28.5925
444;T1;-54.8049;31.8272;19.8415;-33.5001;74.5832;-28.9541
445;T1;-54.6908;31.5457;20.3231;-34.0995;74.112;-29.3116
446;T1;-54.5812;31.2626;20.8063;-34.7027;73.6368;-29.665
447;T1;-54.4761;30.9782;21.291;-35.3097;73.158;-30.0143
448;T1;-54.3757;30.6923;21.777;-35.9207;72.6754;-30.3595
449;T1;-54.28;30.4052;22.2642;-36.5359;72.1892;-30.7006
450;T1;-54.1892;30.1168;22.7523;-37.1554;71.6995;-31.0376
451;T1;-54.1033;29.8273;23.2413;-37.7792;71.2063;-31.3705
452;T1;-54.0225;29.5367;23.7309;-38.4076;70.7097;-31.6993
453;T1;-53.9468;29.2451;24.2211;-39.0408;70.2097;-32.024
454;T1;-53.8763;28.9526;24.7117;-39.6787;69.7065;-32.3447
455;T1;-53.8112;28.6593;25.2025;-40.3217;69.2;-32.6612
456;T1;-53.7515;28.3652;25.6934;-40.9697;68.6904;-32.9736
457;T1;-53.6973;28.0704;26.1842;-41.6231;68.1776;-33.282
458;T1;-53.6487;27.775;26.6748;-42.2819;67.6618;-33.5862
459;T1;-53.6059;27.479;27.1649;-42.9463;67.143;-33.8863
460;T1;-53.5689;27.1827;27.6545;-43.6164;66.6211;-34.1823
461;T1;-53.5379;26.886;28.1434;-44.2925;66.0964;-34.4742
462;T1;-53.5129;26.589;28.6314;-44.9746;65.5688;-34.762
463;T1;-53.4941;26.2918;29.1184;-45.6629;65.0384;-35.0456
464;T1;-53.4815;25.9945;29.6042;-46.3576;64.5051;-35.325
465;T1;-53.4753;25.6972;30.0886;-47.0589;63.9691;-35.6002
466;T1;-53.4755;25.4;30.5714;-47.7669;63.4303;-35.8713
467;T1;-53.4824;25.103;31.0526;-48.4817;62.8889;-36.1381
468;T1;-53.4959;24.8063;31.532;-49.2037;62.3447;-36.4007
469;T1;-53.5163;24.5099;32.0092;-49.9328;61.7979;-36.659
470;T1;-53.5435;24.214;32.4843;-50.6694;61.2485;-36.913
471;T1;-53.5778;23.9186;32.957;-51.4136;60.6965;-37.1626
472;T1;-53.6191;23.624;33.4272;-52.1655;60.1419;-37.4079
473;T1;-53.6677;23.3301;33.8946;-52.9254;59.5847;-37.6487
474;T1;-53.7236;23.0371;34.359;-53.6934;59.0249;-37.8851
475;T1;-53.787;22.7451;34.8204;-54.4698;58.4626;-38.1169
476;T1;-53.8578;22.4542;35.2785;-55.2546;57.8978;-38.3441
477;T1;-53.9363;22.1645;35.7331;-56.0482;57.3305;-38.5667
478;T1;-54.0226;21.8762;36.1841;-56.8507;56.7606;-38.7845
479;T1;-54.1166;21.5893;36.6312;-57.6623;56.1882;-38.9975
480;T1;-54.2186;21.3041;37.0742;-58.4832;55.6133;-39.2056
481;T1;-54.3286;21.0205;37.513;-59.3136;55.0359;-39.4087
482;T1;-54.4466;20.7388;37.9474;-60.1537;54.456;-39.6067
483;T1;-54.5728;20.4591;38.377;-61.0038;53.8736;-39.7995
484;T1;-54.7073;20.1815;38.8018;-61.864;53.2887;-39.9869
485;T1;-54.85;19.9062;39.2216;-62.7346;52.7013;-40.1688
486;T1;-55.0012;19.6333;39.636;-63.6158;52.1114;-40.3452
487;T1;-55.1608;19.363;40.0449;-64.5079;51.5191;-40.5157
488;T1;-55.3288;19.0953;40.4481;-65.411;50.9242;-40.6803
489;T1;-55.5054;18.8306;40.8453;-66.3254;50.3269;-40.8388
490;T1;-55.6906;18.5688;41.2363;-67.2514;49.7271;-40.9909
491;T1;-55.8843;18.3102;41.6209;-68.1891;49.1248;-41.1365
492;T1;-56.0867;18.055;41.9988;-69.1389;48.52;-41.2753
493;T1;-56.2977;17.8033;42.3699;-70.1011;47.9128;-41.4071
494;T1;-56.5173;17.5553;42.7338;-71.0758;47.3032;-41.5316
495;T1;-56.7454;17.3111;43.0903;-72.0634;46.6912;-41.6485
496;T1;-56.9822;17.071;43.4392;-73.0641;46.0768;-41.7576
497;T1;-57.2275;16.8351;43.7802;-74.0782;45.4601;-41.8585
498;T1;-57.4812;16.6036;44.113;-75.106;44.841;-41.9509
499;T1;-57.7433;16.3767;44.4375;-76.1479;44.2197;-42.0343
500;T1;-58.0137;16.1546;44.7533;-77.2041;43.5962;-42.1085
501;T1;-58.2923;15.9374;45.0601;-78.275;42.9705;-42.1729
502;T1;-58.5789;15.7254;45.3578;-79.3609;42.3428;-42.2272
503;T1;-58.8735;15.5188;45.646;-80.4621;41.713;-42.2708
504;T1;-59.1758;15.3177;45.9245;-81.5789;41.0813;-42.3033
505;T1;-59.4856;15.1223;46.193;-82.7118;40.4478;-42.3241
506;T1;-59.8028;14.9329;46.4512;-83.8612;39.8126;-42.3327
507;T1;-60.127;14.7495;46.6989;-85.0273;39.1758;-42.3284
508;T1;-60.458;14.5725;46.9357;-86.2107;38.5375;-42.3107
509;T1;-60.7956;14.402;47.1615;-87.4116;37.8979;-42.2788
510;T1;-61.1394;14.2381;47.376;-88.6306;37.2572;-42.2321
511;T1;-61.489;14.0811;47.5789;-89.8681;36.6155;-42.1697
512;T1;-61.8441;13.9311;47.7699;-91.1245;35.973;-42.091
513;T1;-62.2043;13.7884;47.9488;-92.4003;35.33;-41.995
514;T1;-62.5692;13.653;48.1154;-93.6961;34.6867;-41.8809
515;T1;-62.9381;13.5251;48.2694;-95.0122;34.0432;-41.7478
516;T1;-63.3108;13.4048;48.4105;-96.3494;33.3999;-41.5947
517;T1;-63.6865;13.2924;48.5386;-97.708;32.7571;-41.4205
518;T1;-64.0649;13.1879;48.6535;-99.0888;32.1151;-41.2243
519;T1;-64.4452;13.0914;48.7549;-100.492;31.4741;-41.0049
520;T1;-64.8267;13.0031;48.8427;-101.919;30.8345;-40.761
521;T1;-65.209;12.923;48.9167;-103.37;30.1967;-40.4916
522;T1;-65.5912;12.8511;48.9768;-104.845;29.5611;-40.1952
523;T1;-65.9727;12.7877;49.0228;-106.346;28.9281;-39.8705
524;T1;-66.3526;12.7326;49.0547;-107.874;28.298;-39.5162
525;T1;-66.7301;12.6858;49.0725;-109.428;27.6714;-39.1307
526;T1;-67.1045;12.6475;49.0759;-111.01;27.0488;-38.7125
527;T1;-67.475;12.6175;49.0652;-112.621;26.4305;-38.26
528;T1;-67.8405;12.5959;49.0402;-114.261;25.8172;-37.7715
529;T1;-68.2002;12.5824;49.0011;-115.932;25.2095;-37.2453
530;T1;-68.5532;12.5771;48.948;-117.635;24.6078;-36.6796
531;T1;-68.8986;12.5798;48.8811;-119.37;24.0129;-36.0725
532;T1;-69.2353;12.5903;48.8006;-121.14;23.4254;-35.4221
533;T1;-69.5624;12.6084;48.7067;-122.944;22.8459;-34.7264
534;T1;-69.879;12.634;48.5999;-124.785;22.2752;-33.9833
535;T1;-70.1839;12.6666;48.4805;-126.663;21.7141;-33.1907
536;T1;-70.4762;12.7062;48.3492;-128.581;21.1633;-32.3466
537;T1;-70.755;12.7522;48.2064;-130.538;20.6239;-31.4488
538;T1;-71.0193;12.8045;48.0529;-132.537;20.0966;-30.4952
539;T1;-71.268;12.8624;47.8894;-134.578;19.5824;-29.4837
540;T1;-71.5004;12.9256;47.717;-136.664;19.0825;-28.4122
541;T1;-71.7156;12.9936;47.5366;-138.795;18.5979;-27.2789
542;T1;-71.9127;13.0659;47.3493;-140.973;18.1298;-26.0819
543;T1;-72.0912;13.1418;47.1566;-143.198;17.6795;-24.8197
544;T1;-72.2503;13.2208;46.9597;-145.472;17.2482;-23.491
545;T1;-72.3897;13.3022;46.7603;-147.795;16.8375;-22.095
546;T1;-72.509;13.3853;46.5602;-150.167;16.4487;-20.6312
547;T1;-72.6083;13.4693;46.3611;-152.588;16.0835;-19.0998
548;T1;-72.6875;13.5535;46.1649;-155.057;15.7433;-17.5016
549;T1;-72.7471;13.6371;45.9738;-157.574;15.4299;-15.8383
550;T1;-72.7879;13.7193;45.7899;-160.136;15.1448;-14.1122
551;T1;-72.8106;13.7995;45.6151;-162.741;14.8896;-12.3271
552;T1;-72.8168;13.8767;45.4517;-165.386;14.666;-10.4873
553;T1;-72.808;13.9505;45.3015;-168.066;14.4753;-8.59864
554;T1;-72.7863;14.02;45.1664;-170.777;14.319;-6.66777
555;T1;-72.7538;14.0849;45.0479;-173.512;14.198;-4.7025
556;T1;-72.7132;14.1446;44.9472;-176.266;14.1133;-2.71143
557;T1;-72.6672;14.1988;44.8653;-179.032;14.0656;-0.703885
558;T1;-72.6187;14.2475;44.8026;178.198;14.0551;1.31029
559;T1;-72.5705;14.2906;44.7592;175.431;14.082;3.32113
560;T1;-72.5256;14.3282;44.7346;172.675;14.1458;5.31872
561;T1;-72.4866;14.3605;44.7282;169.936;14.2461;7.29351
562;T1;-72.4561;14.3881;44.7387;167.221;14.382;9.2366
563;T1;-72.4364;14.4113;44.7647;164.537;14.5523;11.1399
564;T1;-72.4293;14.4307;44.8043;161.888;14.7557;12.9962
565;T1;-72.4365;14.447;44.8558;159.279;14.9908;14.7996
566;T1;-72.4593;14.4609;44.917;156.714;15.2559;16.5451
567;T1;-72.4985;14.4732;44.986;154.196;15.5494;18.2289
568;T1;-72.5547;14.4845;45.0605;151.727;15.8696;19.8481
569;T1;-72.6282;14.4956;45.1387;149.309;16.2148;21.401
570;T1;-72.7191;14.5072;45.2186;146.943;16.5833;22.8864
571;T1;-72.8271;14.52;45.2983;144.628;16.9734;24.3042
572;T1;-72.9518;14.5345;45.3763;142.365;17.3838;25.6546
573;T1;-73.0928;14.5514;45.451;140.153;17.8127;26.9385
574;T1;-73.2492;14.5713;45.5211;137.992;18.2589;28.1573
575;T1;-73.4204;14.5946;45.5853;135.881;18.721;29.3125
576;T1;-73.6054;14.6217;45.6425;133.819;19.1978;30.4059
577;T1;-73.8034;14.6532;45.6918;131.803;19.6881;31.4396
578;T1;-74.0135;14.6893;45.7324;129.834;20.1908;32.4156
579;T1;-74.2346;14.7303;45.7635;127.909;20.7048;33.3363
580;T1;-74.4658;14.7766;45.7846;126.027;21.2294;34.2038
581;T1;-74.7062;14.8284;45.7952;124.186;21.7635;35.0204
582;T1;-74.9547;14.8858;45.7949;122.386;22.3064;35.7884
583;T1;-75.2105;14.9491;45.7832;120.625;22.8572;36.5098
584;T1;-75.4726;15.0184;45.7601;118.901;23.4154;37.1869
585;T1;-75.7402;15.0938;45.7252;117.213;23.9802;37.8217
586;T1;-76.0124;15.1753;45.6784;115.56;24.551;38.4163
587;T1;-76.2883;15.2631;45.6197;113.941;25.1272;38.9725
588;T1;-76.5672;15.3571;45.549;112.354;25.7084;39.4923
589;T1;-76.8484;15.4574;45.4663;110.798;26.294;39.9774
590;T1;-77.131;15.564;45.3716;109.273;26.8836;40.4295
591;T1;-77.4145;15.6768;45.265;107.777;27.4767;40.8502
592;T1;-77.6981;15.7958;45.1466;106.309;28.0729;41.2411
593;T1;-77.9813;15.921;45.0164;104.868;28.6719;41.6037
594;T1;-78.2634;16.0522;44.8747;103.454;29.2733;41.9393
595;T1;-78.544;16.1895;44.7215;102.065;29.8768;42.2492
596;T1;-78.8224;16.3326;44.5571;100.701;30.4821;42.5348
597;T1;-79.0983;16.4816;44.3816;99.3611;31.089;42.7972
598;T1;-79.3712;16.6363;44.1952;98.0443;31.6971;43.0375
599;T1;-79.6406;16.7966;43.9981;96.7501;32.3062;43.2569
600;T1;-79.9061;16.9623;43.7905;95.4777;32.9162;43.4562
601;T1;-80.1675;17.1334;43.5726;94.2265;33.5267;43.6365
602;T1;-80.4244;17.3097;43.3447;92.9959;34.1377;43.7987
603;T1;-80.6764;17.4911;43.1069;91.7854;34.7489;43.9436
604;T1;-80.9233;17.6774;42.8595;90.5943;35.3603;44.072
605;T1;-81.1648;17.8685;42.6028;89.4221;35.9715;44.1847
606;T1;-81.4008;18.0643;42.3369;88.2684;36.5826;44.2823
607;T1;-81.6309;18.2646;42.0621;87.1325;37.1934;44.3656
608;T1;-81.8549;18.4693;41.7786;86.0142;37.8037;44.4352
609;T1;-82.0728;18.6782;41.4867;84.9128;38.4135;44.4918
610;T1;-82.2844;18.8912;41.1866;83.8279;39.0227;44.5357
611;T1;-82.4895;19.1081;40.8785;82.7593;39.6311;44.5676
612;T1;-82.688;19.3289;40.5627;81.7063;40.2388;44.5881
613;T1;-82.8798;19.5532;40.2393;80.6687;40.8457;44.5974
614;T1;-83.0648;19.7811;39.9087;79.6461;41.4516;44.5961
615;T1;-83.2429;20.0123;39.571;78.6381;42.0565;44.5847
616;T1;-83.4142;20.2468;39.2265;77.6443;42.6604;44.5634
617;T1;-83.5785;20.4843;38.8753;76.6645;43.2632;44.5327
618;T1;-83.7357;20.7248;38.5178;75.6982;43.8648;44.4928
619;T1;-83.886;20.9681;38.154;74.7453;44.4653;44.4442
620;T1;-84.0292;21.2141;37.7844;73.8053;45.0646;44.3871
621;T1;-84.1653;21.4627;37.4089;72.878;45.6627;44.3218
622;T1;-84.2944;21.7136;37.0279;71.963;46.2594;44.2485
623;T1;-84.4165;21.9668;36.6416;71.0602;46.8548;44.1675
624;T1;-84.5316;22.2222;36.2502;70.1692;47.4489;44.0791
625;T1;-84.6396;22.4797;35.8538;69.2897;48.0417;43.9834
626;T1;-84.7407;22.7391;35.4527;68.4215;48.633;43.8807
627;T1;-84.8349;23.0002;35.047;67.5644;49.2229;43.7712
628;T1;-84.9222;23.2631;34.637;66.718;49.8114;43.6549
629;T1;-85.0026;23.5275;34.2229;65.8822;50.3984;43.5322
630;T1;-85.0763;23.7935;33.8047;65.0567;50.9839;43.4031
631;T1;-85.1432;24.0607;33.3829;64.2413;51.5678;43.2678
632;T1;-85.2035;24.3292;32.9574;63.4357;52.1502;43.1264
633;T1;-85.2572;24.5989;32.5284;62.6398;52.7311;42.9791
634;T1;-85.3043;24.8695;32.0963;61.8533;53.3103;42.8259
635;T1;-85.3449;25.1412;31.6611;61.0759;53.888;42.667
636;T1;-85.3792;25.4136;31.223;60.3076;54.4639;42.5025
637;T1;-85.4071;25.6868;30.7822;59.548;55.0382;42.3325
638;T1;-85.4288;25.9606;30.3389;58.797;55.6108;42.1571
639;T1;-85.4442;26.235;29.8931;58.0544;56.1816;41.9762
640;T1;-85.4536;26.5099;29.4452;57.32;56.7506;41.7902
641;T1;-85.457;26.7851;28.9952;56.5935;57.3178;41.5989
642;T1;-85.4545;27.0606;28.5434;55.8748;57.8832;41.4024
643;T1;-85.446;27.3362;28.0898;55.1638;58.4467;41.2009
644;T1;-85.4318;27.612;27.6347;54.4602;59.0083;40.9944
645;T1;-85.4119;27.8878;27.1782;53.7638;59.5679;40.7829
646;T1;-85.3864;28.1635;26.7205;53.0745;60.1255;40.5664
647;T1;-85.3554;28.439;26.2617;52.3921;60.681;40.3451
648;T1;-85.3189;28.7144;25.8019;51.7164;61.2345;40.119
649;T1;-85.2771;28.9894;25.3414;51.0472;61.7858;39.888
650;T1;-85.23;29.264;24.8803;50.3845;62.3349;39.6523
651;T1;-85.1777;29.5381;24.4187;49.7279;62.8818;39.4118
652;T1;-85.1202;29.8117;23.9568;49.0774;63.4264;39.1667
653;T1;-85.0578;30.0847;23.4948;48.4327;63.9687;38.9168
654;T1;-84.9904;30.3569;23.0327;47.7938;64.5085;38.6623
655;T1;-84.9181;30.6284;22.5708;47.1605;65.0459;38.4032
656;T1;-84.841;30.899;22.1091;46.5325;65.5808;38.1395
657;T1;-84.7593;31.1687;21.648;45.9098;66.113;37.8711
658;T1;-84.6729;31.4374;21.1874;45.2922;66.6427;37.5982
659;T1;-84.5819;31.705;20.7275;44.6796;67.1696;37.3207
660;T1;-84.4865;31.9715;20.2685;44.0717;67.6938;37.0387
661;T1;-84.3867;32.2367;19.8106;43.4685;68.2151;36.7521
662;T1;-84.2826;32.5007;19.3538;42.8699;68.7335;36.4611
663;T1;-84.1742;32.7633;18.8983;42.2755;69.2489;36.1654
664;T1;-84.0617;33.0244;18.4444;41.6854;69.7612;35.8653
665;T1;-83.9451;33.284;17.992;41.0994;70.2704;35.5607
666;T1;-83.8245;33.5421;17.5414;40.5173;70.7764;35.2516
667;T1;-83.6999;33.7985;17.0927;39.9391;71.2791;34.938
668;T1;-83.5714;34.0532;16.6461;39.3645;71.7784;34.6199
669;T1;-83.4392;34.3061;16.2017;38.7934;72.2743;34.2974
670;T1;-83.3032;34.5571;15.7597;38.2258;72.7665;33.9704
671;T1;-83.1636;34.8062;15.3201;37.6615;73.2552;33.6389
672;T1;-83.0203;35.0533;14.8832;37.1003;73.7401;33.3029
673;T1;-82.8736;35.2984;14.4491;36.5421;74.2213;32.9625
674;T1;-82.7234;35.5413;14.018;35.9868;74.6985;32.6177
675;T1;-82.5697;35.782;13.5899;35.4343;75.1717;32.2684
676;T1;-82.4128;36.0203;13.1651;34.8845;75.6408;31.9147
677;T1;-82.2526;36.2564;12.7437;34.3372;76.1057;31.5566
678;T1;-82.0892;36.49;12.3258;33.7923;76.5664;31.194
679;T1;-81.9227;36.7211;11.9116;33.2498;77.0226;30.827
680;T1;-81.7531;36.9497;11.5013;32.7094;77.4744;30.4556
681;T1;-81.5805;37.1756;11.095;32.1711;77.9215;30.0798
682;T1;-81.4049;37.3989;10.6928;31.6348;78.364;29.6996
683;T1;-81.2265;37.6193;10.2949;31.1004;78.8016;29.315
684;T1;-81.0452;37.8369;9.90141;30.5677;79.2344;28.926
685;T1;-80.8611;38.0516;9.51255;30.0367;79.6621;28.5327
686;T1;-80.6744;38.2633;9.12843;29.5072;80.0846;28.135
687;T1;-80.485;38.4719;8.74922;28.9793;80.502;27.733
688;T1;-80.2929;38.6774;8.37506;28.4526;80.914;27.3266
689;T1;-80.0984;38.8797;8.00612;27.9273;81.3205;26.916
690;T1;-79.9014;39.0788;7.64252;27.4031;81.7214;26.5011
691;T1;-79.7019;39.2745;7.28444;26.88;82.1167;26.0819
692;T1;-79.5;39.4667;6.93201;26.3579;82.5061;25.6585
693;T1;-79.2959;39.6555;6.5854;25.8367;82.8896;25.2309
694;T1;-79.0894;39.8408;6.24475;25.3163;83.2671;24.799
695;T1;-78.8808;40.0224;5.91022;24.7967;83.6384;24.3631
696;T1;-78.67;40.2003;5.58195;24.2777;84.0034;23.9229
697;T1;-78.4571;40.3745;5.26009;23.7593;84.362;23.4787
698;T1;-78.2421;40.5448;4.9448;23.2415;84.7141;23.0305
699;T1;-78.0251;40.7112;4.63622;22.724;85.0596;22.5782
700;T1;-77.8062;40.8737;4.3345;22.207;85.3983;22.1219
701;T1;-77.5854;41.0321;4.03978;21.6903;85.7301;21.6617
702;T1;-77.3628;41.1865;3.75221;21.1738;86.055;21.1975
703;T1;-77.1383;41.3366;3.47193;20.6575;86.3728;20.7296
704;T1;-76.9121;41.4825;3.19909;20.1413;86.6833;20.2578
705;T1;-76.6843;41.6242;2.93382;19.6252;86.9865;19.7823
706;T1;-76.4548;41.7614;2.67627;19.1092;87.2822;19.3031
707;T1;-76.2237;41.8942;2.42657;18.5931;87.5704;18.8203
708;T1;-75.991;42.0226;2.18485;18.0769;87.8509;18.334
709;T1;-75.7569;42.1464;1.95125;17.5606;88.1236;17.8441
710;T1;-75.5214;42.2656;1.72589;17.0441;88.3884;17.3509
711;T1;-75.2844;42.3801;1.50891;16.5275;88.6451;16.8542
712;T1;-75.0462;42.4899;1.30042;16.0106;88.8938;16.3543
713;T1;-74.8066;42.5949;1.10055;15.4935;89.1342;15.8512
714;T1;-74.5659;42.6951;0.90941;14.976;89.3663;15.3451
715;T1;-74.3239;42.7904;0.727121;14.4582;89.59;14.8358
716;T1;-74.0809;42.8808;0.553787;13.9401;89.8052;14.3237
717;T1;-73.8367;42.9662;0.389522;13.4217;90.0117;13.8087
718;T1;-73.5916;43.0465;0.234418;12.9028;90.2096;13.2909
719;T1;-73.3455;43.1218;0.0885861;12.3835;90.3986;12.7705
720;T1;-73.0984;43.192;-0.0478926;11.8638;90.5787;12.2476
0;T2;-78.9654;40.5997;6.99351;52.7918;82.5591;202.538
1;T2;-78.7903;40.7756;6.66612;52.2111;83.0933;202.317
2;T2;-78.6128;40.9487;6.34279;51.6322;83.6244;202.091
3;T2;-78.433;41.119;6.02366;51.055;84.1525;201.857
4;T2;-78.251;41.2864;5.70888;50.4794;84.6772;201.618
5;T2;-78.0667;41.4508;5.39857;49.9052;85.1986;201.373
6;T2;-77.8802;41.6122;5.09288;49.3324;85.7165;201.121
7;T2;-77.6915;41.7705;4.79194;48.7607;86.2307;200.863
8;T2;-77.5008;41.9256;4.49588;48.1899;86.7413;200.598
9;T2;-77.3079;42.0775;4.20486;47.6201;87.2479;200.328
10;T2;-77.1129;42.2261;3.91898;47.051;87.7506;200.051
11;T2;-76.9159;42.3713;3.63841;46.4825;88.2491;199.768
12;T2;-76.7168;42.5132;3.36328;45.9145;88.7433;199.479
13;T2;-76.5158;42.6515;3.09373;45.3468;89.2332;199.183
14;T2;-76.3129;42.7863;2.82988;44.7793;89.7186;198.881
15;T2;-76.108;42.9174;2.57189;44.2119;90.1993;198.573
16;T2;-75.9012;43.0449;2.31988;43.6444;90.6752;198.258
17;T2;-75.6926;43.1686;2.074;43.0768;91.1462;197.937
18;T2;-75.4821;43.2885;1.83438;42.5088;91.6121;197.61
19;T2;-75.2699;43.4046;1.60116;41.9405;92.0728;197.277
20;T2;-75.0558;43.5167;1.37447;41.3716;92.5281;196.937
21;T2;-74.8401;43.6248;1.15445;40.802;92.9779;196.591
22;T2;-74.6226;43.7288;0.941232;40.2317;93.4221;196.239
23;T2;-74.4035;43.8287;0.734957;39.6604;93.8606;195.88
24;T2;-74.1827;43.9244;0.53574;39.0882;94.2931;195.515
25;T2;-73.9603;44.0159;0.343728;38.5149;94.7195;195.144
26;T2;-73.7363;44.1031;0.159051;37.9404;95.1397;194.767
27;T2;-73.5107;44.1859;-0.0181658;37.3646;95.5535;194.383
28;T2;-73.2837;44.2643;-0.187796;36.7874;95.9608;193.994
29;T2;-73.0551;44.3382;-0.349714;36.2087;96.3614;193.598
30;T2;-72.8251;44.4076;-0.503788;35.6284;96.7552;193.196
31;T2;-72.5937;44.4724;-0.649901;35.0465;97.1421;192.788
32;T2;-72.3609;44.5326;-0.787929;34.4628;97.5218;192.374
33;T2;-72.1267;44.588;-0.917752;33.8773;97.8943;191.954
34;T2;-71.8912;44.6387;-1.03927;33.2899;98.2593;191.528
35;T2;-71.6545;44.6847;-1.15234;32.7005;98.6168;191.096
36;T2;-71.4164;44.7257;-1.25688;32.109;98.9666;190.658
37;T2;-71.1772;44.7619;-1.35276;31.5155;99.3085;190.215
38;T2;-70.9367;44.7931;-1.43988;30.9198;99.6424;189.765
39;T2;-70.6952;44.8194;-1.51815;30.322;99.9682;189.31
40;T2;-70.4525;44.8407;-1.58746;29.7218;100.286;188.85
41;T2;-70.2087;44.8568;-1.6477;29.1194;100.595;188.384
42;T2;-69.964;44.8679;-1.6988;28.5146;100.895;187.913
43;T2;-69.7182;44.8739;-1.74067;27.9075;101.187;187.436
44;T2;-69.4715;44.8747;-1.77322;27.2979;101.47;186.954
45;T2;-69.2239;44.8702;-1.79636;26.686;101.744;186.467
46;T2;-68.9754;44.8606;-1.81003;26.0716;102.009;185.975
